관광지명,주소
유달산,목포시 유달로 180
갓바위,전라남도 목포시 용해동 산86-24
목포근대역사관,전라남도 목포시 영산로29번길 6 문화원 목포 근대역사관 1관(구 목포일본영사관)
국립 해양 문화재 연구소 해양박물관,전라남도 목포시 남농로 136
목포대교,고하대로597번길 73
목포 자연사박물관,전라남도 목포시 용해동 남농로 135
국립해양유물전시관,전라남도 목포시 용해동 8
유달산 조각공원,전라남도 목포시 죽교동 120
김대중 노벨평화상 기념관,전라남도 목포시 만호동 삼학로92번길 68
목포 문화원,전라남도 목포시 목원동 해안로249번길 34
