,주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,주차구획수,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명,lat,lng
0,138-1-000001,송정호안도로,공영,노상,부산광역시 해운대구 송정동 288-44번지 일원,194,0:00,23:59,0:00,23:59,0:00,23:59,10,300,10.0,300.0,부산광역시 해운대구,35.1805627,129.2051179
1,138-1-000002,송정 광어골,공영,노상,부산광역시 해운대구 송정동 462번지 일원,92,0:00,23:59,0:00,23:59,0:00,23:59,10,300,10.0,300.0,부산광역시 해운대구,35.1772674,129.1950923
2,138-1-000003,해운대교육지원청주변공영,공영,노상,"부산광역시 해운대구 좌동 1290, 1407-6번지 일원",34,9:00,22:00,9:00,22:00,9:00,22:00,10,300,10.0,300.0,부산광역시 해운대구,35.1769987,129.1755813
3,138-2-000004,죽도공원공영,공영,노외,부산광역시 해운대구 송정동288-2일원,27,0:00,23:59,0:00,23:59,0:00,23:59,10,300,10.0,300.0,부산광역시 해운대구,35.1810053,129.2054736
4,138-2-000005,반여2동 제1공영,공영,노외,부산광역시 해운대구 반여2동 1291-1509번지,266,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10.0,100.0,부산광역시 해운대구,35.1957363,129.1274349
5,138-2-000006,반여2동 제2공영,공영,노외,부산광역시 해운대구 반여2동 1291-940번지,234,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10.0,100.0,부산광역시 해운대구,35.1943089,129.1323213
6,138-2-000007,반여3동 제2공영,공영,노외,부산광역시 해운대구 반여3동 1575-93번지,130,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10.0,100.0,부산광역시 해운대구,35.20213469999999,129.1356793
7,138-2-000008,반여4동 공영,공영,노외,부산광역시 해운대구 반여3동 1575-93번지,109,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10.0,100.0,부산광역시 해운대구,35.20213469999999,129.1356793
8,138-2-000009,반송1동 제1공영,공영,노외,부산광역시 해운대구 반송1동 745-13번지,304,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10.0,100.0,부산광역시 해운대구,35.22093950000001,129.1464476
9,138-2-000010,반송1동 제2공영,공영,노외,부산광역시 해운대구 반송1동 259-86번지,154,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10.0,100.0,부산광역시 해운대구,35.2248334,129.1515773
10,138-2-000012,좌동문화원부지 공영,공영,노외,부산광역시 해운대구 좌1동 1458-4번지,49,0:00,23:59,0:00,23:59,0:00,23:59,10,500,10.0,500.0,부산광역시 해운대구,35.1701789,129.1749331
11,138-2-000013,문탠로드관광 공영,공영,노외,부산광역시 해운대구 중1동 974-1번지,99,0:00,23:59,0:00,23:59,0:00,23:59,10,300,10.0,300.0,부산광역시 해운대구,35.1604719,129.1719694
12,138-2-000014,재송2동 공영,공영,노외,부산광역시 해운대구 재송2동 1042-3번지,114,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10.0,100.0,부산광역시 해운대구,35.1923038,129.1266638
13,138-2-000015,반송2동 공영,공영,노외,부산광역시 해운대구 반송동 303번지,291,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10.0,100.0,부산광역시 해운대구,35.2296235,129.1521162
14,138-2-000016,해월정 달맞이길 공영,공영,노외,부산광역시 해운대구 중2동 산42-20번지,56,9:00,22:00,9:00,22:00,9:00,22:00,10,300,10.0,300.0,부산광역시 해운대구,35.156424,129.1789093
