주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,주차구획수,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명
145-1-000020,정관읍 달산리 성림아파트 전면도로,공영,노상,부산광역시 기장군 정관읍 달산리 141-5,8,0:00,0:00,0:00,0:00,0:00,0:00,0,0,,,기장군 선진교통과
145-1-000034,정관읍 구연로 40,공영,노상,,32,0:00,0:00,0:00,0:00,0:00,0:00,0,0,,,기장군 선진교통과
145-1-000037,일광해수욕장 일방통행로,공영,노상,기장군 일광면 삼성리 115-28 인근,39,0:00,0:00,0:00,0:00,0:00,0:00,0,0,,,기장군 선진교통과
136-1-001536,문화회관 진입로변,공영,노상,부산광역시 남구 대연4동 1015번지,23,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연4동주민자치위원회
136-1-001544,분포맨션주변,공영,노상,부산광역시 남구 용호3동 565번지,14,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호3동 단체장협의회
136-1-001552,용호종합복지관 주변,공영,노상,"부산광역시 남구 용호1동 85-2, 86-4, 87-10번지",28,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호3동 단체장협의회
136-1-001565,공무원아파트주변,공영,노상,부산광역시 남구 용호3동 565번지,7,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호3동 단체장협의회
136-1-001569,수영로39번길(번영로 아래),공영,노상,부산광역시 남구 문현3동 231-8번지,111,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현3동주민자치위원회
136-1-001609,동부타워 주변,공영,노상,"부산광역시 남구 용호동 514-10, 514-12번지",8,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호3동 단체장협의회
136-2-000005,진남로232번길 공영주차장,공영,노외,부산광역시 남구 문현1동 53-11,28,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현1동 주민자치위원회
136-1-000006,남천중진입로,공영,노상,부산광역시 남구 대연3동 455-13,37,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연3동 주민자치위원회
136-2-000006,용호초등학교뒤 공영주차장,공영,노외,"부산광역시 남구 용호1동 66-3, 20",19,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호1동 주민자치위원회
136-1-000009,부산세무고등학교 주변,공영,노상,부산광역시 남구 대연6동 1801,31,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연6동 주민자치위원회
136-1-000004,동명로158번길,공영,노상,부산광역시 남구 용호3동 565번지(정원2길 29~184),11,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호3동 단체장협의회
136-2-000005,수영로69번길 공영주차장,공영,노외,부산광역시 남구 남구 문현3동 262-2,16,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현3동 새마을지도자
136-1-000006,un조각공원 주변,공영,노상,"부산광역시 남구 대연3동 1022, 1015-1번지외",60,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,남구 장애인협회
136-2-000006,용호중앙교회앞 공영주차장,공영,노외,"부산광역시 남구 용호1동 409-25, 26번지",14,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호1동 주민자치위원회
136-1-000008,신우주택 주변,공영,노상,"부산광역시 남구 용호1동 420-12, 420-6",6,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호1동 주민자치위원회
136-1-000009,솔밭공원 윗길,공영,노상,"부산광역시 남구 용호1동 72 번지, 94번지 인근",23,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호1동 주민자치위원회
136-1-000029,새마을금고 주변,공영,노상,부산광역시 남구 우암2동 189번지 일원,66,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,우암동 청년회
136-1-000032,한신아파트 맞은편,공영,노상,부산광역시 남구 용당동 565-26번지,23,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용당동 주민자치위원회
136-1-001012,용당세관 주변,공영,노상,부산광역시 남구 용당동 136-3번지 일원,59,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용당동 주민자치위원회
136-1-001052,문현2동 주민센터윗편,공영,노상,부산광역시 남구 문현2동 552-8번지 일원,12,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현2동주민자치위원회
136-1-001055,인각사 주변,공영,노상,"부산광역시 남구 문현1동 53-150, 53-176번지",34,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현1동 주민자치위원회
